NESI,pGCS,pRASS,pCAMS,pICANS
-3.0,14.618340859352049,-0.15153499351913235,0.8057583904433724,0.07008114082469474
-2.5,14.271182452067677,-0.29350067583710593,1.485621894192335,0.17343204087338093
-2.0,13.700720690648424,-0.5375350667000148,2.416509162925894,0.38612739135226115
-1.5,12.864611697457207,-0.9103466372048559,3.4960724123590428,0.7286284430650993
-1.0,11.774160896772107,-1.4092980747029662,4.553059462713607,1.1639825001381086
-0.5,10.507057669672387,-1.9989256617320477,5.443788482419842,1.6578793561596847
0.0,9.172825650977924,-2.62099630887199,6.110265139072613,2.162485207896655
0.5,7.857600249593657,-3.213570635760132,6.549009752401632,2.5948399814895295
1.0,6.614540021231118,-3.7337799271934737,6.794055592491535,2.9163237191475297
1.5,5.493399205994608,-4.162762885538914,6.9119229078261375,3.185823776626328
2.0,4.564984121531776,-4.49088654333711,6.96354899210505,3.464817596480555
2.5,3.8913467665781134,-4.715115816498508,6.985133138779047,3.7144120275811847
3.0,3.4690706089222108,-4.850533754803933,6.993973485332189,3.872769814455949
