class_0_prob,class_1_prob,class_2_prob,pred_class
0.4346,0.1735,0.3923,0
0.87,0.03616,0.09326,0
0.921,0.01165,0.0673,0
0.964,0.007618,0.02861,0
0.6694,0.004745,0.326,0
0.965,0.007774,0.02739,0
0.9795,0.004505,0.01573,0
0.9917,0.002304,0.006283,0
0.9507,0.007713,0.0415,0
0.9546,0.00396,0.04153,0
0.9688,0.006622,0.02487,0
0.9824,0.004337,0.01346,0
0.9727,0.0162,0.01146,0
0.9116,0.0728,0.01566,0
0.917,0.066,0.01714,0
0.5386,0.449,0.01243,0
0.07587,0.92,0.004025,1
0.005157,0.989,0.00646,1
0.03494,0.964,0.001232,1
0.001232,0.984,0.0146,1
0.000841,0.995,0.00435,1
0.000727,0.9907,0.00886,1
0.000496,0.9927,0.00695,1
0.0003965,0.993,0.0063,1
0.000407,0.9946,0.00506,1
0.000319,0.968,0.03204,1
0.0005465,0.9727,0.02623,1
0.568,0.3267,0.10547,0
0.2068,0.767,0.02603,1
0.8223,0.1731,0.00457,0
0.965,0.02225,0.013214,0
0.971,0.01941,0.00938,0
0.9805,0.00852,0.011055,0
0.9795,0.005417,0.01523,0
0.9756,0.00849,0.0161,0
0.981,0.00425,0.01439,0
0.9004,0.003185,0.0961,0
0.899,0.004284,0.09656,0
0.9155,0.00448,0.0795,0
0.65,0.006638,0.343,0
0.6196,0.01129,0.3694,0
0.602,0.02228,0.3755,0
0.7144,0.03812,0.2478,0
0.693,0.08356,0.2235,0
0.7183,0.159,0.1224,0
0.5005,0.0903,0.4092,0
0.3796,0.6123,0.00814,1
0.338,0.09753,0.5645,2
0.3696,0.02028,0.61,2
0.643,0.01325,0.3442,0
0.764,0.01643,0.2195,0
0.8066,0.013855,0.1792,0
0.3953,0.006466,0.5986,2
0.3323,0.00612,0.6616,2
0.2482,0.005943,0.746,2
0.4363,0.012054,0.552,2
0.479,0.00614,0.515,2
0.551,0.01431,0.4348,0
0.535,0.01178,0.4526,0
0.561,0.01718,0.4216,0
0.542,0.004917,0.4534,0
0.644,0.004913,0.3513,0
0.9272,0.00816,0.06445,0
0.7886,0.002846,0.2085,0
0.8223,0.003595,0.1742,0
0.899,0.002363,0.0988,0
0.849,0.00467,0.1459,0
0.884,0.00472,0.11163,0
0.861,0.005856,0.1334,0
0.9395,0.01997,0.04086,0
0.8335,0.00204,0.1643,0
0.9155,0.002409,0.0823,0
0.468,0.0019245,0.5303,2
0.9966,0.002018,0.001136,0
0.9966,0.001411,0.00214,0
0.9966,0.001591,0.001697,0
0.995,0.000926,0.003561,0
0.8457,0.01241,0.1416,0
0.742,0.007065,0.2507,0
0.8296,0.00524,0.1649,0
0.877,0.004948,0.1185,0
0.8706,0.012115,0.1172,0
0.958,0.01059,0.0313,0
0.919,0.009605,0.0718,0
0.8984,0.04596,0.0552,0
0.871,0.04028,0.0887,0
0.8164,0.0979,0.08575,0
0.7,0.288,0.01179,0
0.427,0.5664,0.00683,1
0.3435,0.6504,0.005817,1
0.9307,0.06586,0.003208,0
0.8022,0.1953,0.002768,0
0.9214,0.07306,0.00517,0
0.7153,0.2788,0.005943,0
0.855,0.1403,0.004814,0
0.994,0.002085,0.003746,0
0.0399,0.9175,0.04263,1
0.07477,0.702,0.2227,1
0.129,0.8022,0.06885,1
0.1598,0.788,0.05212,1
0.1517,0.7993,0.0487,1
0.5625,0.3489,0.0885,0
0.4497,0.3933,0.1569,0
0.444,0.05783,0.4983,2
0.596,0.2766,0.1271,0
0.4978,0.1525,0.35,0
0.607,0.1625,0.2308,0
0.6787,0.1741,0.1476,0
0.4468,0.0707,0.4822,2
0.2372,0.0399,0.7227,2
0.272,0.0063,0.7217,2
0.2983,0.01033,0.691,2
0.4773,0.00626,0.5166,2
0.863,0.005253,0.1317,0
0.63,0.004112,0.3662,0
0.5654,0.004745,0.4302,0
0.649,0.0127,0.338,0
0.5874,0.005432,0.4072,0
0.6567,0.00867,0.334,0
0.5435,0.00579,0.4507,0
0.7285,0.0212,0.25,0
0.755,0.05963,0.1852,0
0.849,0.08514,0.06555,0
0.804,0.05518,0.1407,0
0.96,0.02888,0.011536,0
0.92,0.05463,0.02559,0
0.897,0.08435,0.0188,0
0.6064,0.281,0.11273,0
0.648,0.02954,0.3225,0
0.2035,0.009224,0.787,2
0.4688,0.008026,0.5234,2
0.3972,0.01029,0.593,2
0.2369,0.005405,0.758,2
0.1382,0.002977,0.859,2
0.2678,0.002562,0.7295,2
