class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9497,0.05002,3.7e-06,4.8e-06,4.87e-05,0.0002367,0
0.9214,0.0785,3.64e-06,8.8e-06,2.074e-05,0.0002894,0
0.789,0.2107,3.7e-06,2.5e-06,4.03e-05,0.0001447,0
0.9014,0.09863,3.64e-06,1.7e-06,3.11e-05,0.0004299,0
0.972,0.0274,3.3e-06,9.5e-07,1.9e-05,0.0004184,0
0.975,0.02414,2.44e-06,8.3e-07,3.8e-05,0.0008025,0
0.9336,0.0663,4.65e-06,6.6e-07,3.54e-05,0.0004313,0
0.6064,0.393,6.11e-05,2.2e-06,5.66e-06,2.944e-05,0
0.579,0.4204,2.26e-05,2.74e-06,4.6e-06,4.876e-05,0
0.9106,0.0888,1.15e-05,3.5e-06,3.976e-05,0.0002997,0
0.9507,0.04932,5.8e-06,1.97e-06,6.014e-05,0.0003097,0
0.9497,0.04993,7.15e-06,1.97e-06,0.000125,0.0002708,0
0.844,0.1556,1.514e-05,4.8e-06,8.31e-05,7.99e-05,0
0.9346,0.06537,1.436e-05,4.6e-06,2.59e-05,7.206e-05,0
0.654,0.346,2.52e-05,5.54e-06,3.934e-05,2.76e-05,0
0.7607,0.2389,0.000495,1.47e-05,7.2e-06,1.83e-05,0
0.7734,0.2258,0.0003526,2.074e-05,7.3e-06,1.03e-05,0
0.959,0.0409,0.0003173,4.77e-06,0.0001386,1.35e-05,0
0.9834,0.01614,0.0003772,3.93e-06,0.0001009,1.264e-05,0
0.953,0.04236,0.0044,5.54e-06,3.02e-05,6.3e-06,0
0.9707,0.0198,0.00918,1.65e-05,1.57e-05,1.305e-05,0
0.9146,0.072,0.01311,1e-05,1.174e-05,3.9e-06,0
0.6094,0.3872,0.003607,1.23e-05,3.3e-06,3.7e-06,0
0.468,0.5283,0.003101,5.2e-06,5.2e-06,2.7e-06,1
0.929,0.06046,0.01009,9e-06,7.3e-06,4.6e-06,0
0.956,0.0437,2.21e-05,7.1e-06,6.26e-06,9.537e-05,0
0.977,0.02296,1.68e-05,2.205e-05,3.5e-06,0.0002086,0
