class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9834,0.0002224,0.01366,2e-07,0.0002778,0.002195,0
0.9824,5.615e-05,0.006252,3.6e-07,0.0002546,0.01119,0
0.9893,0.0003,0.005104,3e-07,0.0001738,0.005157,0
0.991,5.263e-05,0.003263,6.6e-07,5.47e-05,0.00541,0
0.8296,7.25e-05,0.000328,3e-06,3.904e-05,0.1698,0
0.8794,0.0002228,0.0008397,1.2e-06,3.856e-05,0.1193,0
0.948,0.0002383,0.0003412,3e-07,0.003391,0.04782,0
0.9414,0.0001452,0.000886,6.6e-07,0.0001514,0.05734,0
0.882,0.0002056,0.01355,4e-07,0.09436,0.00992,0
0.9795,0.003067,0.000832,1e-07,0.01643,0.0002391,0
0.4634,0.0002122,0.0001917,3e-07,0.5356,0.0001574,4
0.1805,0.0001599,5.13e-05,2e-07,0.819,0.0001587,4
0.1082,8.273e-05,2.223e-05,2e-07,0.892,8.42e-05,4
0.1942,0.0001454,1.097e-05,2.4e-07,0.8057,0.0001928,4
0.277,0.0001355,8.6e-06,3e-07,0.7217,0.000998,4
0.3743,0.0001575,1.01e-05,2.4e-07,0.6245,0.001084,4
0.3992,0.0001021,1.05e-05,2.4e-07,0.597,0.00393,4
0.1002,4.375e-05,1.305e-05,2e-07,0.8936,0.00643,4
0.1536,0.0002123,5.9e-06,2e-07,0.84,0.00616,4
0.0528,0.00057,6.8e-06,6e-08,0.945,0.002064,4
0.589,0.003998,2.74e-06,1e-06,0.1885,0.2188,0
0.7227,0.001434,8.2e-06,3e-07,0.2188,0.05704,0
0.877,0.00136,2.7e-06,7e-07,0.002563,0.1189,0
0.9746,0.002985,1.67e-05,1e-07,0.01799,0.00412,0
0.982,0.001327,9.24e-06,2e-07,0.00518,0.01177,0
0.945,0.00887,1.97e-06,1e-06,0.01173,0.03482,0
0.917,0.05215,4.35e-06,6e-07,0.01765,0.01335,0
0.968,0.002573,2.26e-06,7e-07,0.002253,0.02739,0
0.972,0.0004816,1.5e-06,1.8e-06,0.0004773,0.02705,0
0.8223,0.000757,1.85e-06,3.93e-06,0.0002623,0.1764,0
0.8105,0.01628,4.7e-06,1e-06,0.001292,0.1722,0
0.6724,0.003437,4.1e-06,3.16e-06,0.0002306,0.324,0
0.914,0.0004523,8.3e-06,8.3e-07,0.000609,0.085,0
0.9404,0.0003603,1.51e-05,1.1e-06,0.01429,0.0446,0
0.8296,0.001902,1.156e-05,1.3e-06,0.11633,0.05255,0
0.9175,0.000243,1.77e-05,2.4e-06,0.03018,0.05237,0
0.704,0.00066,1.06e-05,2.1e-06,0.147,0.1482,0
0.884,0.003342,6.14e-06,9e-07,0.07324,0.03943,0
0.8877,0.0336,1.264e-05,4e-07,0.0634,0.01538,0
0.3484,0.0345,8.64e-06,5e-07,0.6113,0.00596,4
0.9834,0.00398,6.56e-06,2.4e-07,0.003511,0.00901,0
0.984,0.008446,7.33e-06,2e-07,0.004696,0.00249,0
0.9575,0.01562,1.055e-05,3.6e-07,0.0007567,0.02623,0
0.637,0.22,2.62e-05,3.6e-07,0.1417,0.00108,0
0.7163,0.05106,2e-05,6e-07,0.1381,0.094,0
0.3503,0.1638,1.28e-05,6e-07,0.4688,0.0167,4
0.262,0.0018425,2e-06,1e-06,0.0179,0.7183,5
0.1261,0.000846,7e-07,1.1e-06,0.001436,0.8716,5
0.04727,0.0004535,6e-07,6e-07,0.00433,0.948,5
0.0428,4.04e-05,6e-07,9.5e-07,0.002459,0.955,5
0.010475,9.64e-05,3.6e-07,5.4e-07,0.002365,0.987,5
0.11414,1.47e-05,1.8e-06,2.15e-06,0.001857,0.884,5
0.2126,8.46e-05,5.4e-06,3.16e-06,0.002714,0.784,5
0.08356,0.0007772,1.85e-06,5.4e-07,0.00785,0.9077,5
0.1407,0.0002197,2.26e-06,1e-06,0.006428,0.8525,5
0.07806,0.001806,1.97e-06,1.4e-06,0.01212,0.9077,5
0.332,0.03033,2.474e-05,1.67e-06,0.2874,0.35,5
0.2118,0.649,2.897e-05,1.5e-06,0.0553,0.08435,1
0.84,0.1246,0.0001147,8.3e-07,0.02899,0.00639,0
0.4844,0.2893,0.00011325,3.34e-06,0.1792,0.04675,0
0.4492,0.1906,0.0001493,1.4e-06,0.3157,0.04425,0
0.1284,0.2666,5.203e-05,8e-07,0.599,0.005707,4
0.529,0.04874,4.54e-05,8e-07,0.414,0.00862,0
0.4624,0.006493,1.717e-05,2.3e-06,0.3801,0.1509,0
0.9185,0.003244,9.54e-06,3e-07,0.04416,0.03384,0
0.9175,0.0007796,9.5e-06,6.6e-07,0.03845,0.04358,0
0.8794,0.000543,9.36e-06,3.6e-07,0.02657,0.09296,0
0.1886,0.0004714,4.47e-05,2e-07,0.81,0.000811,4
0.1328,0.000819,0.0008116,1e-07,0.8613,0.00407,4
0.644,0.001701,0.001913,6e-08,0.347,0.00543,0
0.464,0.000274,0.01227,3.6e-07,0.519,0.004745,4
0.7427,0.0007873,0.01967,2e-07,0.2365,0.000484,0
0.0657,8.2e-05,0.0005684,1e-07,0.9263,0.00734,4
0.0973,2.45e-05,0.001636,6e-08,0.9,0.000874,4
0.1888,9.394e-05,0.0004013,6e-08,0.8105,0.0001678,4
0.3508,0.0005136,0.0004375,6e-08,0.6484,0.0002283,4
0.0797,0.0002024,7.534e-05,6e-08,0.9194,0.000313,4
0.1415,0.01843,0.001159,6e-08,0.8384,5.22e-05,4
0.1771,0.005394,0.0001787,6e-08,0.817,0.0003176,4
0.4688,0.0974,0.0651,3.6e-07,0.3687,0.0001748,0
0.861,0.0604,0.0004508,2e-07,0.07837,7.83e-05,0
0.599,0.001423,0.0001686,3.6e-07,0.3914,0.00845,0
