class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.939,0.0605,0.0001998,4.5e-06,9.7e-06,3.3e-06,0
0.9976,0.002476,0.0002642,2.474e-05,7.6e-06,9.5e-07,0
0.9927,0.00745,0.0001304,2.13e-05,2.6e-06,1.1e-06,0
0.998,0.001038,0.0003185,6.086e-05,4.53e-06,5e-07,0
0.9976,0.001825,0.00013,1.89e-05,5.5e-06,5e-07,0
0.9995,0.00011206,0.0005755,2.55e-05,2.3e-06,1e-06,0
0.9995,0.0001417,0.0004408,3.046e-05,3e-06,9.5e-07,0
0.998,7.93e-05,0.001385,3.64e-06,3.546e-05,9e-06,0
0.9985,6.82e-05,0.001272,3.76e-06,4.17e-05,5.84e-06,0
0.999,0.0001488,0.000701,6.7e-06,4.053e-05,1.6e-06,0
0.9995,7.04e-05,0.000178,5.7e-06,3.37e-05,4.23e-06,0
0.999,0.00092,0.000266,7.4e-06,1.174e-05,2.5e-06,0
0.9976,0.002157,0.0003119,1.764e-05,3.95e-05,2.26e-06,0
0.9966,0.002857,0.0003357,2.02e-05,2.67e-05,2.5e-06,0
0.9985,0.001566,0.0002126,4.214e-05,1.25e-05,1.6e-06,0
0.9985,0.001072,0.000375,3.01e-05,8.81e-05,1.85e-06,0
0.9976,0.00203,0.0002754,3.74e-05,0.0001027,2.74e-06,0
0.998,0.0017395,0.0006337,6.276e-05,6.44e-06,3.46e-06,0
0.997,0.002634,0.0004709,2.71e-05,3.04e-05,4.53e-06,0
0.995,0.001755,0.002844,2.116e-05,9.6e-05,4.23e-06,0
0.9736,0.000582,0.02568,3.135e-05,0.0001224,3.34e-06,0
0.995,0.001839,0.002924,1.68e-05,0.0001675,9.5e-07,0
0.998,0.000492,0.001541,7.57e-06,7.695e-05,1.6e-06,0
0.995,0.0001359,0.004726,1.776e-05,1.466e-05,2.2e-06,0
0.999,6.586e-05,0.0005617,6.7e-06,1.13e-05,1.127e-05,0
0.999,3e-05,0.0008736,6.2e-06,5.16e-05,1.8e-05,0
0.998,0.0001423,0.001613,1.63e-05,7.97e-05,9.9e-06,0
0.996,0.000557,0.003168,1e-05,5.78e-05,4.05e-06,0
0.9985,0.0002775,0.000827,2.79e-05,0.000299,6.56e-06,0
0.9985,0.0003233,0.000985,1.98e-05,0.0001213,1.836e-05,0
0.9976,0.0002737,0.001719,3.53e-05,0.000522,6e-06,0
0.997,0.001148,0.001736,9.84e-05,0.0002154,9e-06,0
0.9966,0.00264,0.000493,2.03e-05,0.0003278,9.54e-06,0
0.9976,0.000992,0.000959,1.61e-05,0.0004282,1.85e-05,0
0.9976,0.001886,0.0002186,1.574e-05,0.0004375,5.9e-06,0
0.9985,0.001018,0.0001422,1.01e-05,0.0003555,6.8e-06,0
0.996,0.00302,0.0003078,1.043e-05,0.0001948,3.6e-06,0
0.9995,0.0001802,0.0004544,8.124e-05,6.175e-05,1.365e-05,0
0.9976,0.000395,0.001423,1.91e-05,8.076e-05,6.1e-06,0
0.9966,0.000124,0.002445,2.444e-05,0.0003595,1.05e-05,0
0.9976,0.0008764,0.001107,1.48e-05,0.0003662,4.7e-06,0
0.9966,0.0002654,0.00265,4.74e-05,0.0003932,8.94e-06,0
0.9956,0.0001732,0.002811,1.353e-05,0.001803,6.2e-06,0
