class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.958,0.03894,0.00264,8.4e-06,1.377e-05,2.66e-05,0
0.965,0.03488,0.0001459,6.14e-06,7.2e-06,0.0001442,0
0.937,0.0624,0.000147,1.1e-05,1.436e-05,3.874e-05,0
0.932,0.0674,0.0003195,0.0001699,5.5e-06,0.000355,0
0.9165,0.08026,0.002792,0.0002496,4e-07,0.0001096,0
0.792,0.201,0.006786,0.0006166,9.5e-07,3.18e-05,0
0.4392,0.5586,0.001618,0.0001955,9.5e-07,2.086e-05,1
0.4482,0.5503,0.001236,0.000224,1e-06,1.31e-05,1
0.2773,0.7227,0.00010943,3.4e-05,1.13e-06,2.116e-05,1
0.1464,0.8535,7.975e-05,4.256e-05,9.5e-07,1.31e-05,1
0.2069,0.793,3.475e-05,1.3e-05,3.16e-06,1.64e-05,1
0.2024,0.7974,1.895e-05,1.675e-05,2.56e-06,2.01e-05,1
0.3638,0.636,1.52e-05,4.6e-06,1.24e-05,1.84e-05,1
0.661,0.3389,0.0001039,1.234e-05,6.7e-06,7.3e-06,0
0.7954,0.2046,2.325e-05,7.75e-06,9.36e-06,4.137e-05,0
0.7896,0.2101,3.785e-05,9.83e-06,6.14e-06,1.09e-05,0
0.756,0.2439,6.09e-05,8.94e-06,7.3e-06,2.384e-05,0
0.876,0.1238,9.173e-05,4.5e-06,4.35e-06,0.0001012,0
0.7046,0.295,0.00011545,1.544e-05,1.25e-06,6.074e-05,0
0.753,0.2473,0.0001286,3.76e-06,2.74e-06,7.64e-05,0
0.7134,0.286,0.0002339,8.46e-06,1.5e-06,0.0001755,0
0.631,0.3682,0.0002413,4.286e-05,1.1e-06,0.000144,0
0.8765,0.1231,9.066e-05,5.35e-05,5e-07,0.0002456,0
0.842,0.1578,5.1e-05,2.11e-05,1.1e-06,0.0001638,0
0.9463,0.05286,2.67e-05,2.86e-05,5.4e-07,0.0002317,0
0.9507,0.04865,2.897e-05,2.49e-05,1.13e-06,0.0004854,0
0.9614,0.0385,3.73e-05,4.166e-05,5e-07,0.0002009,0
0.9937,0.0058,6.09e-05,9.894e-05,5.4e-07,0.00027,0
0.9927,0.006405,0.0004134,5.287e-05,4.7e-06,0.0002954,0
0.981,0.01843,0.000317,1.2e-06,0.0001591,0.0002854,0
0.994,0.00509,0.0002792,2.3e-06,5.4e-05,0.000496,0
0.969,0.02887,0.001654,1.55e-06,6.3e-05,6.65e-05,0
0.906,0.0936,0.0004191,9e-07,0.0001314,1.985e-05,0
0.8457,0.1543,3.71e-05,8e-07,9.26e-05,4.184e-05,0
0.8506,0.1495,4.55e-05,2.4e-06,1.186e-05,3.39e-05,0
0.906,0.09454,4.29e-05,4.6e-06,9.36e-06,2.456e-05,0
0.356,0.644,0.00012076,9.2e-06,1.9e-06,6.74e-06,1
0.1598,0.84,0.0001318,5.25e-06,3.76e-06,2.15e-06,1
0.126,0.874,2.027e-05,1.657e-05,4.9e-06,3.6e-06,1
0.2233,0.7764,3.55e-05,1.407e-05,2.9e-06,3.93e-06,1
0.3335,0.666,5.41e-05,1.63e-05,3.4e-06,7.6e-06,1
0.4553,0.545,3.064e-05,3.76e-06,1.144e-05,2.164e-05,1
0.7227,0.2773,3.57e-05,3.7e-06,3.7e-06,3.44e-05,0
0.592,0.4084,5.037e-05,3.2e-06,3.16e-06,4.48e-05,0
0.7905,0.2087,1.15e-05,3.1e-06,6.85e-06,0.000555,0
0.582,0.4175,1.67e-05,3.64e-06,5.54e-06,0.0003366,0
0.7876,0.2119,1.28e-05,5e-06,5.84e-06,0.000235,0
0.8945,0.105,1.46e-05,1.63e-05,1.43e-06,0.0001334,0
0.7124,0.2878,1.84e-05,9.95e-06,3.3e-06,9.483e-05,0
0.1865,0.8135,1.76e-05,8.3e-07,1.49e-05,6.27e-05,1
0.3845,0.6147,1.06e-05,1.7e-06,1.12e-05,0.0002186,1
0.2153,0.784,8.05e-06,1.67e-06,7.1e-06,0.0002158,1
0.3906,0.61,1.68e-05,1.2e-06,1.63e-05,0.00010264,1
0.2024,0.7974,1.293e-05,1.5e-06,1.33e-05,5.66e-05,1
0.3047,0.6953,1.78e-05,9.5e-07,3.75e-05,3.82e-05,1
0.2415,0.7583,9.8e-06,9e-07,4.727e-05,9.38e-05,1
0.591,0.4092,1.067e-05,9e-07,8.72e-05,0.0001326,0
0.4424,0.557,2.54e-05,8.3e-07,3.18e-05,0.000251,1
0.408,0.592,3.57e-05,1e-06,7.504e-05,9.52e-05,1
0.2725,0.7266,1.07e-05,1.43e-06,5.35e-05,0.0003312,1
0.1946,0.805,1.67e-05,2.6e-06,3.89e-05,0.0002106,1
0.2932,0.7065,1.806e-05,3.2e-06,4.58e-05,3.69e-05,1
0.3308,0.6685,9.2e-06,2.1e-06,8.88e-05,0.00025,1
0.3972,0.601,1.41e-05,1e-06,0.0003128,0.0010805,1
0.4966,0.5024,2.646e-05,9e-07,0.0001962,0.0009665,1
