class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.918,0.0001438,8.62e-05,0.001223,2.9e-06,0.0805,0
0.9883,0.0001415,6.17e-05,0.0003684,1e-06,0.01149,0
0.992,0.0001477,5.36e-05,0.0001311,8e-07,0.007717,0
0.991,0.000188,0.0001981,0.0001181,8e-07,0.0087,0
0.996,0.0001668,1.44e-05,8.91e-05,1.8e-06,0.003445,0
0.9946,0.000148,2.86e-06,0.0002615,1.3e-06,0.004635,0
0.9995,3.79e-05,0.0001299,0.0001967,3e-07,0.0002037,0
0.9956,1.854e-05,0.00010014,0.0002573,5e-07,0.003885,0
0.994,3.55e-05,2.69e-05,0.0003428,5e-07,0.005512,0
0.852,2.35e-05,3.55e-05,0.001648,2.56e-06,0.1464,0
0.792,0.0001467,7.41e-05,0.003149,2.26e-06,0.2046,0
0.9756,3.63e-05,0.001327,0.00825,8e-07,0.01452,0
0.9614,0.0001663,0.002052,0.02814,1.43e-06,0.00827,0
0.986,0.001788,0.004646,0.001746,2.337e-05,0.005882,0
0.9683,0.000929,0.02966,0.000213,0.000111,0.0002906,0
0.976,0.02116,0.000979,0.0004356,1.705e-05,0.00109,0
0.9966,0.000638,3.51e-05,0.000973,2.4e-07,0.00161,0
0.996,0.0001901,0.0001318,0.003061,2e-07,0.0002456,0
0.9976,5.8e-06,0.0002444,0.001986,1.25e-06,0.0003705,0
0.9985,4.01e-05,7.75e-06,0.001184,2.4e-07,0.000197,0
0.998,1.14e-05,1.246e-05,0.001396,3.6e-07,0.0002075,0
0.997,1.25e-05,7.75e-06,0.002863,5.4e-07,0.0002785,0
0.9966,4e-06,2.57e-05,0.003395,8e-07,0.0003219,0
0.9883,4.9e-06,7.075e-05,0.01122,5.4e-07,0.0003,0
0.9873,4.77e-06,8.28e-05,0.01224,8e-07,0.0001886,0
0.9917,5e-06,0.0001997,0.00814,5.4e-07,0.0003872,0
0.999,2.587e-05,1.39e-05,0.000768,3.6e-07,0.0001483,0
0.9985,2.91e-05,0.0001917,0.00151,2e-07,4.65e-05,0
0.9985,1.246e-05,6.47e-05,0.001352,2e-07,0.00011253,0
0.9985,2.37e-05,0.0003574,0.001109,1e-07,2.18e-05,0
0.996,5.9e-06,0.0004642,0.00317,2.4e-07,0.0001657,0
0.996,1.556e-05,0.0001103,0.003471,2.4e-07,0.0003533,0
0.996,3.76e-06,0.0004208,0.00311,5e-07,0.0004156,0
0.9976,5.54e-06,0.0007987,0.00194,3.6e-07,0.0001556,0
0.997,7.7e-06,7.22e-05,0.0022,3.6e-07,0.0008583,0
0.9775,2.08e-05,4.07e-05,0.01666,3.6e-07,0.00549,0
0.9873,1.657e-05,3.31e-05,0.00801,3.6e-07,0.004734,0
0.987,1.293e-05,4.107e-05,0.008965,3.6e-07,0.00395,0
