class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9766,0.002132,0.02141,5.84e-06,3.93e-06,2.3e-06,0
0.865,0.0004349,0.1345,3.96e-05,2.74e-06,5.66e-06,0
0.752,0.003231,0.2446,1.06e-05,8.1e-06,5.66e-06,0
0.504,0.0001676,0.4958,2.07e-05,8.94e-06,1.216e-05,0
0.492,0.0005593,0.508,6.93e-05,3.5e-06,4.05e-06,2
0.667,0.00233,0.3308,1.13e-05,7.5e-06,1.02e-05,0
0.4163,0.0008926,0.5825,7.03e-06,1.353e-05,9.5e-06,2
0.6304,0.001193,0.3684,4.8e-06,1.574e-05,1.65e-05,0
0.3362,0.0001956,0.6636,9.1e-06,2.53e-05,6.6e-06,2
0.496,0.0003252,0.504,5.36e-06,1.77e-05,2.2e-05,2
0.625,0.00029,0.3745,7e-06,8.17e-06,3.475e-05,0
0.4116,0.0003688,0.5874,4.8e-06,3.59e-05,1.08e-05,2
0.758,0.0004144,0.2418,4.4e-06,2.056e-05,1.234e-05,0
0.802,0.0005093,0.1976,4e-06,2.99e-05,7.03e-06,0
0.8037,0.0003662,0.1958,9.2e-06,5.66e-06,1.323e-05,0
0.969,0.004402,0.02634,3.93e-06,2.8e-06,6.5e-06,0
0.9277,0.02776,0.04437,1.17e-05,1.5e-06,6.14e-06,0
0.8965,0.0214,0.0822,1.26e-05,2.4e-06,7.2e-06,0
0.898,0.01894,0.083,1.08e-05,1.55e-06,7.15e-06,0
0.876,0.0595,0.0644,1.07e-05,1.7e-06,7.3e-06,0
0.756,0.01445,0.2291,8.46e-06,2.86e-06,1e-05,0
0.847,0.04324,0.1093,1.16e-05,1.4e-06,1.115e-05,0
0.845,0.04715,0.1079,1.16e-05,2.86e-06,6.5e-06,0
0.8896,0.02126,0.0891,1.174e-05,1.3e-06,1.4e-05,0
0.7656,0.2017,0.03214,5.36e-06,2.4e-06,1.85e-05,0
0.8115,0.0792,0.1094,4.23e-06,5.6e-06,2.295e-05,0
0.2637,0.08325,0.653,4.76e-05,3.3e-06,9.8e-06,2
0.4634,0.01382,0.523,1.353e-05,1.17e-05,7.8e-06,2
0.1777,0.126,0.696,8.94e-06,1.02e-05,8.94e-06,2
0.2969,0.2502,0.4526,8.94e-06,1.085e-05,1.436e-05,2
0.655,0.1277,0.2177,3.2e-06,1.53e-05,2.21e-05,0
0.8013,0.1011,0.09784,1.55e-06,3.797e-05,1.466e-05,0
0.7886,0.1914,0.02017,1.5e-06,1.144e-05,9.7e-06,0
0.9077,0.07886,0.01333,6e-07,5.36e-05,7.57e-06,0
0.9077,0.07654,0.01558,6e-07,5.19e-05,1.01e-05,0
0.942,0.03702,0.02122,5e-07,0.0001317,8.05e-06,0
0.933,0.04102,0.02605,5.4e-07,8.136e-05,1.204e-05,0
0.89,0.07275,0.0372,1e-06,9.96e-05,1.067e-05,0
0.896,0.06305,0.0407,7e-07,0.0001253,9.83e-06,0
0.869,0.0722,0.05832,1.1e-06,4.49e-05,1.48e-05,0
0.8564,0.014305,0.1292,2.7e-06,5.15e-05,9.6e-06,0
0.722,0.00532,0.273,2.86e-06,7.385e-05,1.18e-05,0
0.679,0.00934,0.3113,2.5e-06,4.33e-05,1.013e-05,0
0.8296,0.02666,0.1439,3.64e-06,1.35e-05,1.83e-05,0
0.6323,0.01059,0.3567,2.8e-06,2.074e-05,1.48e-05,0
0.904,0.00694,0.0888,1.25e-06,3.72e-05,5.23e-05,0
0.9614,0.00757,0.031,9.5e-07,1.156e-05,5.16e-05,0
0.9517,0.004204,0.04373,3.1e-06,3.76e-06,0.0003667,0
0.886,0.00084,0.1127,3.3e-06,6.3e-06,9.537e-05,0
0.8467,0.001993,0.1509,1.67e-06,2.486e-05,0.0002083,0
0.976,0.00224,0.02159,8e-07,1.854e-05,0.0001341,0
0.961,0.003372,0.03534,1.13e-06,1.65e-05,6.03e-05,0
0.989,0.004597,0.006767,6.6e-07,1.39e-05,6.58e-05,0
0.981,0.002832,0.01587,6.6e-07,2.67e-05,0.000126,0
0.986,0.002026,0.0122,5.4e-07,6.765e-05,0.0001233,0
0.981,0.00505,0.01403,5.4e-07,2.384e-05,0.0002431,0
0.992,0.004913,0.002369,4e-07,8.32e-05,0.0002129,0
0.9727,0.00724,0.01968,5.4e-07,0.00010425,0.00010675,0
0.988,0.001516,0.01008,3e-07,0.0002468,0.0001015,0
