class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9746,1.41e-05,4.28e-05,2.26e-06,0.0006604,0.02463,0
0.9937,6.413e-05,3.326e-05,8e-07,0.000614,0.00566,0
0.996,0.0001041,0.00118,7e-07,7.32e-05,0.002193,0
0.994,0.00399,0.0001625,3e-07,0.000681,0.000994,0
0.9883,0.010414,0.0007954,4e-07,2.986e-05,0.0002402,0
0.9844,0.014336,0.0009665,3.16e-06,1.544e-05,6.18e-05,0
0.988,0.00674,0.005417,6.6e-07,2.44e-05,5.92e-05,0
0.9976,0.002039,2.12e-05,3.6e-07,0.0001528,0.000332,0
0.9917,0.007576,7.18e-05,2.4e-07,0.0002364,3.284e-05,0
0.9893,0.010506,5.27e-05,5e-07,0.0001386,9.84e-05,0
0.9614,0.01202,0.02618,9.5e-07,4.89e-05,1.025e-05,0
0.997,0.001486,2.295e-05,3.6e-07,9.93e-05,0.001451,0
0.939,0.03134,0.0001885,2.4e-07,0.02943,0.0001508,0
0.8286,0.1375,0.000211,2.4e-07,0.03253,0.000845,0
0.5176,0.03772,0.0002414,2e-07,0.4443,0.000246,0
0.66,0.03394,2.563e-05,3e-07,0.3044,0.001814,0
0.7944,0.002743,9.28e-05,2.4e-07,0.2012,0.001309,0
0.9404,0.0008445,0.0005507,2e-07,0.05762,0.0004098,0
0.982,0.007355,0.0001274,6e-08,0.00968,0.0007806,0
0.991,0.0003903,8.04e-05,6e-08,0.003967,0.00436,0
0.9478,9.47e-05,0.000176,2e-07,0.0399,0.01271,0
0.401,0.0005136,4.87e-05,1e-07,0.5923,0.00668,4
0.1237,0.0001636,1.59e-05,1e-07,0.845,0.0308,4
0.1014,1.276e-05,0.000675,2e-07,0.8857,0.01233,4
0.5273,0.0001947,0.000895,3.6e-07,0.1752,0.2964,0
0.6797,6.74e-05,0.001244,4e-07,0.1722,0.1471,0
0.1361,4.95e-06,0.000331,2e-06,0.01625,0.847,5
0.5977,1.025e-05,0.003038,2.5e-06,0.07385,0.3257,0
0.9204,2.2e-06,0.000861,3.46e-06,0.012405,0.06616,0
0.953,2.86e-06,0.0004742,1.9e-06,0.005623,0.04037,0
0.9365,2.7e-06,0.000133,2.6e-06,0.000397,0.06287,0
0.923,1.7e-06,0.0001285,3.8e-06,0.0017185,0.07513,0
0.872,4.77e-06,1.79e-05,3.16e-06,0.0003095,0.1271,0
0.8027,2.44e-06,6.35e-05,6.26e-06,0.007793,0.1892,0
0.856,1.174e-05,2.384e-05,5.54e-06,0.000166,0.1436,0
0.3416,3.034e-05,4.005e-05,3.7e-06,0.0003593,0.658,5
0.835,0.000894,5.025e-05,3.2e-06,1.41e-05,0.1638,0
