class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9873,0.002394,3.8e-06,3.16e-06,0.0001404,0.00993,0
0.9927,0.00655,4.3e-06,3.16e-06,7.24e-05,0.000712,0
0.994,0.004936,5.9e-06,1.43e-06,0.0001374,0.0004282,0
0.9946,0.004612,4.2e-06,1.4e-06,3.64e-05,0.0006127,0
0.9976,0.0004697,4.2e-06,1.2e-06,0.0001808,0.001685,0
0.9946,0.0008173,7.87e-06,1.1e-06,0.0003417,0.003878,0
0.9966,0.0002658,5.66e-06,1.1e-06,0.0002135,0.002632,0
0.9966,0.001331,7.5e-06,1.6e-06,0.0002244,0.002213,0
0.993,0.00466,2.736e-05,3.3e-06,0.000883,0.001082,0
0.9937,0.002306,2.65e-05,3.93e-06,0.0009627,0.002708,0
0.9937,0.00489,1.82e-05,2.6e-06,0.0001938,0.001309,0
0.9956,0.002308,1.32e-05,1.54e-05,0.000168,0.002153,0
0.9585,0.04108,1.246e-05,5.07e-06,3.564e-05,0.000448,0
0.9624,0.03723,9.3e-06,6.2e-06,3.39e-05,0.0002875,0
0.9824,0.01723,4.5e-06,6.56e-06,3.07e-05,0.0003955,0
0.989,0.01097,7.57e-06,9.24e-06,4.37e-05,0.0001751,0
0.9927,0.006634,5.66e-06,8.3e-06,1.675e-05,0.000424,0
0.937,0.05594,1.6e-06,1.484e-05,2.503e-05,0.006973,0
0.975,0.01903,1.6e-06,8.2e-06,2.635e-05,0.005424,0
0.981,0.00571,3.64e-06,4.554e-05,1.43e-06,0.01324,0
0.9727,0.01758,2.3e-06,1.115e-05,8.3e-06,0.00991,0
0.98,0.01584,7.1e-06,1.115e-05,7.33e-06,0.003687,0
0.9326,0.004047,9.3e-06,0.0001194,1.01e-05,0.06323,0
0.784,0.003384,1.496e-05,0.0001391,7.15e-06,0.2126,0
0.924,0.004715,8.4e-06,3e-05,3.14e-05,0.07166,0
0.8613,0.001346,1.34e-05,1.59e-05,0.0001631,0.1373,0
0.816,0.0004134,2.784e-05,1.82e-05,0.0004659,0.1829,0
0.868,0.0002646,5.347e-05,6.8e-06,0.004414,0.1272,0
0.726,0.0006013,3.91e-05,5.6e-05,0.011894,0.2617,0
0.9253,0.000624,9.2e-06,1.127e-05,0.01179,0.0621,0
0.9814,0.000952,1.06e-05,1.37e-05,0.005165,0.01237,0
0.9824,0.00754,8.34e-06,1.61e-05,0.0003238,0.009895,0
0.9917,0.003225,4.77e-06,1.884e-05,0.0003152,0.00468,0
0.9565,0.0363,1.23e-05,4.447e-05,0.0019045,0.004898,0
0.909,0.0904,2.45e-05,1.22e-05,0.0001129,0.0003397,0
0.97,0.02913,5.21e-05,1.186e-05,0.0001142,0.000578,0
0.9966,0.001133,1.38e-05,6.2e-06,6.044e-05,0.002289,0
0.996,0.003904,0.0001351,3.7e-06,8.05e-06,2.944e-05,0
0.9995,0.000423,1.824e-05,2.74e-06,7.8e-06,0.0001898,0
0.9956,0.003012,1.866e-05,2.86e-06,0.0010395,0.0001093,0
0.998,0.0006227,1.013e-05,3.93e-06,0.0007863,0.0001259,0
0.9966,0.002586,7.75e-06,1.8e-06,0.000418,0.0002933,0
0.998,0.001825,8.8e-06,4e-06,0.0001379,0.0002388,0
0.999,0.0001732,3.44e-05,1.5e-06,0.0002055,0.0001207,0
0.9976,0.00225,8.4e-06,5e-07,0.0001539,6.11e-05,0
0.999,0.000657,6.3e-06,2.8e-06,0.0001317,0.000176,0
0.997,0.002522,4.9e-06,6.6e-07,9.215e-05,9.716e-05,0
0.9976,0.002092,2.2e-06,5.54e-06,8.2e-05,8.285e-05,0
0.998,0.001908,2.2e-06,5.54e-06,4.29e-05,5.36e-05,0
0.999,0.000224,1.1e-06,7.33e-06,7.6e-06,0.0003788,0
