class_0_prob,class_1_prob,class_2_prob,pred_class
0.7344,0.03687,0.229,0
0.872,0.01356,0.1145,0
0.67,0.01009,0.32,0
0.7637,0.03888,0.1975,0
0.8057,0.005436,0.1888,0
0.913,0.004974,0.08203,0
0.9126,0.003963,0.0832,0
0.8945,0.002327,0.1033,0
0.8833,0.004555,0.11206,0
0.863,0.003193,0.1342,0
0.7754,0.004166,0.2205,0
0.523,0.04648,0.431,0
0.07825,0.0407,0.8813,2
0.25,0.04257,0.7075,2
0.2888,0.01458,0.6963,2
0.486,0.003435,0.5107,2
0.2354,0.002815,0.7617,2
0.2289,0.00234,0.769,2
0.5396,0.00437,0.456,0
0.71,0.005253,0.2847,0
0.9478,0.00592,0.04648,0
0.9863,0.002607,0.01119,0
0.981,0.001968,0.01707,0
0.9697,0.000834,0.02945,0
0.9736,0.0006123,0.02594,0
0.9546,0.001323,0.04376,0
0.9727,0.001766,0.02582,0
0.966,0.003628,0.03082,0
0.9253,0.003544,0.07117,0
0.9062,0.00428,0.0891,0
0.912,0.005646,0.0825,0
0.957,0.004124,0.03888,0
0.923,0.00912,0.0678,0
0.9487,0.00961,0.04166,0
0.924,0.03943,0.0369,0
0.937,0.0089,0.05396,0
0.2167,0.00534,0.778,2
0.0915,0.006306,0.902,2
0.03467,0.00395,0.961,2
0.1026,0.004444,0.893,2
0.10864,0.001925,0.8896,2
0.2961,0.002266,0.701,2
0.1554,0.001199,0.8438,2
0.2524,0.000806,0.7466,2
0.11066,0.0008693,0.8887,2
0.3125,0.0009418,0.6865,2
0.573,0.002165,0.4243,0
0.1182,0.04453,0.8374,2
0.1042,0.007996,0.8877,2
0.537,0.03336,0.4294,0
0.753,0.003235,0.244,0
0.9697,0.0009584,0.02928,0
0.975,0.001431,0.02386,0
0.9727,0.01102,0.01625,0
0.932,0.0263,0.0415,0
0.941,0.03023,0.02899,0
0.7676,0.1466,0.0854,0
0.1554,0.798,0.04636,1
0.4724,0.4885,0.03943,1
0.09155,0.8916,0.0169,1
0.0921,0.8945,0.0136,1
0.08203,0.9097,0.008125,1
0.0224,0.9673,0.01036,1
0.681,0.2969,0.02164,0
0.963,0.02345,0.01381,0
0.883,0.05225,0.065,0
0.9414,0.003708,0.05463,0
0.9224,0.012146,0.0654,0
0.7173,0.09204,0.191,0
0.3354,0.06335,0.601,2
0.5933,0.01201,0.3948,0
0.1549,0.02185,0.823,2
0.277,0.001939,0.721,2
0.3394,0.002447,0.6577,2
0.614,0.01083,0.375,0
0.534,0.01076,0.4548,0
0.627,0.003141,0.37,0
0.5283,0.005726,0.4656,0
0.713,0.002237,0.2852,0
0.4717,0.001447,0.527,2
0.5938,0.002205,0.4043,0
0.638,0.004513,0.357,0
0.748,0.004517,0.2472,0
0.4285,0.001863,0.57,2
0.4727,0.004517,0.5234,2
0.3564,0.000914,0.643,2
0.3352,0.001846,0.6626,2
0.5947,0.002512,0.4026,0
0.365,0.001813,0.633,2
0.554,0.002413,0.4436,0
0.3567,0.003563,0.64,2
0.1466,0.06793,0.7856,2
0.03763,0.0643,0.8984,2
0.1455,0.0999,0.755,2
0.0383,0.2805,0.681,2
0.01318,0.6665,0.3208,1
0.01614,0.7144,0.2695,1
0.0439,0.922,0.03424,1
0.3977,0.3071,0.295,0
0.0563,0.8467,0.0969,1
0.7583,0.02135,0.2208,0
0.802,0.0032,0.1947,0
0.947,0.00276,0.05054,0
0.883,0.003061,0.11426,0
0.9453,0.00126,0.05334,0
0.9727,0.001097,0.02634,0
0.9575,0.000846,0.0418,0
0.9746,0.001227,0.02415,0
0.8247,0.001174,0.1746,0
0.6523,0.00238,0.3457,0
0.5225,0.001292,0.4766,0
0.1935,0.001106,0.8057,2
0.2603,0.00165,0.7383,2
0.3367,0.002153,0.6606,2
0.4973,0.003529,0.499,2
0.5586,0.001886,0.4395,0
0.7266,0.005302,0.2678,0
0.783,0.007683,0.2089,0
0.826,0.01578,0.1581,0
0.913,0.01206,0.075,0
0.791,0.01498,0.1943,0
0.9463,0.0109,0.0428,0
0.7554,0.00538,0.2397,0
0.7134,0.1057,0.1807,0
0.656,0.1335,0.2104,0
0.11,0.575,0.315,1
0.06476,0.6772,0.2576,1
0.04456,0.6636,0.2913,1
0.0653,0.7163,0.2186,1
0.2634,0.1608,0.5757,2
0.4573,0.04218,0.5005,2
0.685,0.1249,0.1901,0
0.8657,0.0662,0.0676,0
0.646,0.3025,0.051,0
0.635,0.3398,0.02542,0
0.3984,0.4036,0.198,1
0.667,0.203,0.1296,0
0.7153,0.1581,0.1268,0
0.743,0.11,0.1469,0
0.8755,0.03424,0.0899,0
0.701,0.08746,0.2112,0
0.88,0.005848,0.1144,0
0.7397,0.00683,0.2534,0
0.719,0.003956,0.277,0
0.819,0.00235,0.1788,0
0.7144,0.00304,0.2827,0
0.4502,0.004898,0.5454,2
0.614,0.002071,0.3843,0
0.568,0.002546,0.4297,0
0.647,0.002657,0.3503,0
0.8584,0.000842,0.1403,0
0.8843,0.0006194,0.1147,0
0.9463,0.000565,0.0526,0
0.9106,0.002123,0.0873,0
0.674,0.003569,0.323,0
0.86,0.00503,0.1354,0
0.7983,0.004723,0.1973,0
0.875,0.003626,0.12085,0
0.8745,0.002789,0.1227,0
0.7627,0.003494,0.2341,0
0.7563,0.02101,0.2233,0
0.7856,0.005154,0.2092,0
0.7256,0.002003,0.2722,0
0.8975,0.002611,0.0996,0
0.842,0.003353,0.155,0
0.746,0.00469,0.2493,0
0.79,0.01256,0.1976,0
0.913,0.001211,0.0855,0
0.9624,0.003643,0.0343,0
0.949,0.002094,0.04868,0
0.9507,0.003323,0.04565,0
0.8574,0.012764,0.1299,0
0.8936,0.04218,0.0643,0
0.898,0.01019,0.0916,0
