class_0_prob,class_1_prob,class_2_prob,pred_class
0.966,8.38e-05,0.03418,0
0.914,5.54e-05,0.0859,0
0.8555,8.61e-05,0.1444,0
0.6265,9.43e-05,0.3738,0
0.5815,0.0001292,0.4182,0
0.372,0.0001273,0.6274,2
0.2756,0.0001448,0.7246,2
0.477,0.000145,0.523,2
0.3765,0.0001382,0.6235,2
0.7476,9.5e-05,0.2522,0
0.841,0.0001021,0.1595,0
0.942,0.000109,0.05762,0
0.9307,0.0001091,0.0692,0
0.931,8.06e-05,0.06866,0
0.62,0.0001175,0.3794,0
0.167,0.000106,0.833,2
0.2025,0.00010455,0.798,2
0.09045,9.364e-05,0.9097,2
0.0768,0.000119,0.9233,2
0.03342,0.00010395,0.9663,2
0.014496,0.0001221,0.9854,2
0.0396,0.00011706,0.96,2
0.1075,0.0001557,0.892,2
0.2457,0.0001316,0.754,2
0.2512,0.0001827,0.7485,2
0.35,0.0002022,0.65,2
0.889,0.0001022,0.11084,0
0.635,0.0001564,0.3655,0
0.5376,0.0001835,0.4622,0
0.572,0.00022,0.428,0
0.811,0.00010616,0.189,0
0.04492,0.0001769,0.9556,2
0.02267,0.000157,0.977,2
0.02074,0.00011396,0.9795,2
0.4534,0.0001227,0.547,2
0.0556,0.00010943,0.9443,2
0.06903,0.0001367,0.9307,2
0.007545,0.0001377,0.992,2
0.00472,0.0002005,0.995,2
0.006638,0.0002298,0.9927,2
0.02275,0.0001845,0.9766,2
0.003117,0.0009427,0.996,2
0.02588,0.0003567,0.974,2
0.004997,0.0005445,0.994,2
0.01049,0.0002465,0.9893,2
0.01497,0.0002278,0.985,2
0.03088,0.0002027,0.9688,2
0.01545,0.0001976,0.9844,2
0.06396,0.0002114,0.9355,2
0.0487,0.0001886,0.951,2
0.0227,0.0004916,0.9766,2
0.01074,0.000892,0.9883,2
0.0217,0.0005045,0.978,2
0.02162,0.0003123,0.9775,2
0.00674,0.0003965,0.9927,2
0.0735,0.0001659,0.9263,2
0.03598,0.0001423,0.964,2
0.2062,0.0001415,0.7935,2
0.4749,0.0001256,0.5254,2
0.853,7.75e-05,0.1469,0
0.8765,6.53e-05,0.1237,0
0.884,9.06e-05,0.1161,0
0.51,0.00010127,0.4905,0
0.2673,0.00011545,0.733,2
0.6855,5.75e-05,0.3147,0
0.442,9.966e-05,0.5576,2
0.7583,8.62e-05,0.2415,0
0.5806,8.72e-05,0.4194,0
0.8496,7.71e-05,0.15,0
0.7183,0.00011694,0.2812,0
0.8716,9.33e-05,0.1284,0
0.9546,8.106e-05,0.0453,0
0.883,9.906e-05,0.1171,0
0.8525,7.73e-05,0.1473,0
0.9214,6.807e-05,0.07837,0
0.971,0.0001258,0.02802,0
0.9204,0.0001397,0.0799,0
0.4155,0.0003736,0.584,2
0.4204,0.0005803,0.579,2
0.8145,0.0002265,0.1853,0
0.9253,0.0001714,0.0742,0
0.8022,0.0002284,0.1978,0
0.5566,0.000509,0.4429,0
0.3892,0.0001785,0.6104,2
0.1132,0.0003188,0.886,2
0.1759,0.0001825,0.8237,2
0.11914,0.0001723,0.881,2
0.0481,0.0001255,0.9517,2
0.667,0.0001229,0.333,0
0.3042,0.0001701,0.696,2
0.661,0.0001664,0.339,0
0.6143,0.0001848,0.3857,0
0.417,0.0001829,0.583,2
0.5327,0.0001388,0.467,0
0.1864,0.0002816,0.8135,2
0.404,0.0002162,0.5957,2
0.1586,0.0002377,0.8413,2
0.3914,0.0002412,0.6084,2
0.3489,0.0002744,0.6514,2
0.522,0.000194,0.4778,0
0.785,0.000144,0.2146,0
0.906,9.34e-05,0.0937,0
0.95,6.396e-05,0.04984,0
0.9116,7.69e-05,0.0882,0
0.3743,0.00012106,0.6255,2
0.863,0.0001063,0.1366,0
0.911,8.243e-05,0.089,0
0.926,0.0001702,0.07367,0
0.1929,0.0001083,0.807,2
0.2109,8.374e-05,0.789,2
0.0703,0.00010383,0.929,2
0.11505,9.55e-05,0.885,2
0.07715,0.00011796,0.923,2
0.4548,0.0001372,0.5454,2
0.708,8.63e-05,0.2922,0
0.714,0.0001132,0.2861,0
0.4124,0.0001639,0.588,2
0.6147,0.0002373,0.3853,0
0.55,0.0002096,0.45,0
0.9004,0.0001438,0.0995,0
0.742,0.0001046,0.2576,0
0.866,7.58e-05,0.1335,0
0.945,4.685e-05,0.0551,0
0.5605,7.766e-05,0.439,0
0.1564,0.0001254,0.8433,2
0.05814,8.976e-05,0.9414,2
0.3472,8.37e-05,0.6523,2
0.2266,8.05e-05,0.7734,2
0.493,7.34e-05,0.507,2
0.54,8.24e-05,0.4597,0
0.5513,7.766e-05,0.4487,0
0.137,9.15e-05,0.8633,2
0.08704,7.33e-05,0.9126,2
0.1439,9.036e-05,0.856,2
0.0628,0.00011164,0.937,2
0.1332,9.215e-05,0.8667,2
0.3618,0.0001402,0.638,2
0.743,9.97e-05,0.2568,0
0.927,8.374e-05,0.07324,0
0.9204,8.243e-05,0.07996,0
0.878,0.0001136,0.122,0
0.853,0.00012016,0.1469,0
0.8784,0.0001165,0.1214,0
0.9395,0.0001122,0.06012,0
0.966,0.000119,0.03394,0
0.981,0.0001495,0.01927,0
0.969,0.00011486,0.03041,0
0.9546,0.0001052,0.0452,0
0.686,0.0001857,0.314,0
0.552,0.000165,0.4482,0
0.7666,0.0001656,0.2334,0
0.6587,0.0001307,0.3418,0
0.6685,0.0001369,0.3315,0
0.77,0.0001515,0.2299,0
0.1825,0.0001713,0.817,2
0.4631,0.000108,0.5366,2
0.469,0.0001289,0.531,2
0.5176,0.0001304,0.4822,0
0.9385,6.956e-05,0.06116,0
0.9194,5.68e-05,0.0803,0
0.9272,8.917e-05,0.07245,0
0.911,0.0001,0.08887,0
0.876,0.0001178,0.12384,0
0.729,0.0001072,0.2708,0
0.5605,0.0001588,0.4392,0
0.362,0.0002022,0.6377,2
0.0408,0.000131,0.959,2
0.01706,0.002098,0.981,2
0.03314,0.00047,0.9663,2
0.01776,0.0004897,0.982,2
0.00874,0.0003028,0.991,2
0.05212,0.002138,0.946,2
0.3562,0.000374,0.6436,2
0.212,0.001294,0.786,2
0.1333,0.0006332,0.8657,2
0.2947,0.001068,0.704,2
0.4385,0.0008745,0.5605,2
0.08875,0.0004594,0.9106,2
0.0928,0.0003607,0.907,2
0.4885,0.0002556,0.511,2
0.4321,0.0001715,0.568,2
0.365,0.000211,0.635,2
0.1787,0.000184,0.821,2
0.1041,0.0001318,0.896,2
0.2129,0.0003004,0.787,2
0.147,0.000614,0.8525,2
0.02649,0.001875,0.9717,2
0.05722,0.00689,0.936,2
0.05673,0.0009575,0.9424,2
0.07544,0.001294,0.9233,2
0.0632,0.001326,0.9355,2
0.05923,0.000597,0.9404,2
0.1105,0.0002692,0.889,2
0.609,0.0002197,0.391,0
0.4458,0.0002222,0.5537,2
0.486,0.0001408,0.5137,2
0.9,8.19e-05,0.0997,0
0.842,0.00011563,0.1581,0
0.759,0.0001131,0.2416,0
0.8926,7.65e-05,0.10675,0
0.94,8.62e-05,0.0601,0
0.9795,6.837e-05,0.0205,0
0.9346,7.695e-05,0.0654,0
0.9575,7.915e-05,0.04214,0
0.905,8.345e-05,0.09546,0
