class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.8223,5.6e-06,0.142,0.00632,0.002928,0.0268,0
0.9326,1.9e-06,0.05063,0.002134,0.0009108,0.01363,0
0.1077,2.56e-06,0.7026,0.0006113,0.1864,0.002594,2
0.00083,1.43e-06,0.8564,0.0002794,0.142,1.806e-05,2
0.000461,2.74e-06,0.937,0.0004795,0.062,2.7e-06,2
0.0003011,2.26e-06,0.9595,0.0002334,0.04022,2.3e-06,2
0.000903,1.2e-06,0.995,0.0002673,0.003689,3.34e-06,2
0.000481,6.6e-07,0.992,0.001772,0.005196,6.9e-06,2
0.0002099,1.67e-06,0.991,0.000859,0.007614,1.97e-06,2
0.001537,2.26e-06,0.977,9.865e-05,0.0212,1.6e-06,2
0.001267,2.5e-06,0.9634,6.78e-05,0.03482,1.9e-06,2
0.001424,3.4e-06,0.9297,7.67e-05,0.06866,1.67e-06,2
0.0015335,4.6e-06,0.9897,0.0001303,0.008545,5.4e-07,2
0.0199,5.7e-06,0.98,0.0001299,0.0001559,7e-07,2
0.0841,3.9e-06,0.915,9.49e-05,0.0006657,7.6e-06,2
0.0985,9.06e-06,0.8994,5.24e-05,0.002043,6.8e-06,2
0.01662,3.7e-06,0.9463,2.6e-05,0.037,2.015e-05,2
0.002462,2.056e-05,0.9346,2.3e-06,0.0626,3.3e-06,2
0.00355,1.62e-05,0.9834,1.9e-06,0.01242,2.6e-06,2
0.001116,2.885e-05,0.9907,1.9e-06,0.00799,7e-07,2
0.0002352,0.00010616,0.987,2e-06,0.01261,1.1e-06,2
0.000493,6.17e-05,0.9976,5e-06,0.002127,2e-07,2
0.004524,5.925e-05,0.692,7.9e-06,0.3035,1.7e-06,2
0.009094,1.06e-05,0.9185,1.764e-05,0.0728,2.74e-06,2
0.007114,0.0001794,0.9175,6.5e-06,0.07556,9.5e-07,2
0.1348,0.0001291,0.7656,5.7e-06,0.10004,1.216e-05,2
0.4084,6.78e-05,0.58,9.95e-06,0.01142,3.05e-05,2
0.3486,1.74e-05,0.433,3.21e-05,0.2179,0.0002229,2
0.3179,8.5e-06,0.3672,8.684e-05,0.3093,0.005466,2
0.518,3.4e-06,0.1559,0.001028,0.3123,0.01298,0
0.9307,4.3e-06,0.01636,8.73e-05,0.05243,0.0007105,0
0.984,5.4e-07,0.000658,0.001208,0.004124,0.01021,0
0.985,6.6e-07,0.00113,0.006893,0.00228,0.00519,0
0.988,9.5e-07,0.001544,0.00612,0.002888,0.001728,0
0.908,9.5e-07,0.001139,0.000702,0.08234,0.00796,0
0.6177,2.74e-06,0.05798,0.003698,0.3198,0.000546,0
0.2717,3.3e-06,0.2122,0.00203,0.5137,0.0001726,4
0.584,8.05e-06,0.3794,0.003906,0.0325,0.0001338,0
0.397,1.28e-05,0.4734,0.004246,0.1249,0.0001278,2
0.03262,8.9e-06,0.944,0.0004194,0.02289,1.276e-05,2
0.02917,2.3e-06,0.9546,0.0004025,0.01548,4.04e-05,2
0.01481,4.9e-06,0.981,0.0001478,0.003864,7.4e-06,2
0.0269,5.96e-06,0.965,3.13e-05,0.00784,1.55e-05,2
0.02934,2.56e-06,0.9697,0.0001757,0.000566,7.87e-06,2
0.1266,2.3e-06,0.8716,0.00107,0.0003045,5.22e-05,2
0.1338,1.43e-06,0.863,0.003046,0.00045,0.0003512,2
0.1475,1.25e-06,0.849,0.0008626,0.0017805,0.000816,2
0.07434,1.25e-06,0.924,0.001976,0.0001394,0.0002463,2
0.1245,1.1e-06,0.873,0.000345,0.0017605,0.0003376,2
0.2495,8e-07,0.738,0.00945,0.001519,0.00137,2
0.1226,1.55e-06,0.873,0.001786,0.002504,2.57e-05,2
0.05386,1.97e-06,0.9395,0.00667,0.0003502,1.353e-05,2
0.2505,7.1e-06,0.743,0.00603,0.000282,6e-06,2
0.2808,4e-06,0.717,0.0003676,0.001611,1.73e-05,2
0.01955,4.1e-06,0.9795,0.0001572,0.000925,1.9e-06,2
0.01595,5.1e-06,0.9814,0.0001545,0.002691,8e-07,2
0.002281,7.15e-06,0.9966,0.0003023,0.0006876,2.4e-07,2
