class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9956,0.004295,9.7e-06,9.9e-06,5.8e-06,1.353e-05,0
0.9956,0.00433,5.7e-06,9.54e-06,5.4e-06,1.574e-05,0
0.9917,0.0085,7.5e-06,1.28e-05,4.23e-06,1.47e-05,0
0.992,0.007652,3.2e-06,1.204e-05,3.3e-06,5.01e-05,0
0.9937,0.00645,2.3e-06,3.153e-05,1.67e-06,4.31e-05,0
0.9883,0.01196,2.4e-06,1.27e-05,4.2e-06,6.47e-05,0
0.9976,0.002178,1.5e-06,7.2e-06,2.86e-06,0.0001993,0
0.9946,0.00503,1.3e-06,9.5e-06,2.4e-06,0.000438,0
0.995,0.00443,1.2e-06,9.83e-06,2.2e-06,0.0003943,0
0.9937,0.00576,1.5e-06,6.14e-06,3.4e-06,0.000575,0
0.9956,0.002892,1.1e-06,5.4e-06,3.4e-06,0.0013,0
0.9946,0.002491,1.3e-06,4.95e-06,2.26e-06,0.002558,0
0.9966,0.001878,1.13e-06,3.46e-06,8.34e-06,0.00181,0
0.979,0.02092,3.76e-06,4.4e-06,1.85e-06,0.0004482,0
0.989,0.01133,4.23e-06,3.76e-06,1.9e-06,0.0003757,0
0.9697,0.03026,5.9e-06,7.5e-06,1.85e-06,0.0002594,0
0.9673,0.03232,8.46e-06,5.2e-06,3.1e-06,0.0001379,0
0.9478,0.05252,5.36e-06,5.2e-06,1.01e-05,0.0001028,0
0.986,0.01387,3.76e-06,3.1e-06,1.633e-05,0.0001895,0
0.986,0.01367,2.6e-06,3.76e-06,1.174e-05,0.0001535,0
0.994,0.005264,3.1e-06,4.2e-06,7.4e-06,0.0001813,0
0.9956,0.004337,2.56e-06,2.9e-06,4.8e-06,0.0001885,0
0.9966,0.003618,4.4e-06,5.96e-06,6.8e-06,0.000346,0
0.993,0.006466,7.15e-06,1.34e-05,3.8e-06,0.0002458,0
0.9976,0.002478,7.1e-06,1.05e-05,6.4e-06,0.0001523,0
0.9985,0.001403,4.35e-06,7.3e-06,8.5e-06,0.0001116,0
0.9995,0.000591,4.3e-06,7.15e-06,1.1e-05,0.0002859,0
0.9995,0.000432,9.8e-06,4.8e-06,6.5e-06,9.567e-05,0
0.9985,0.001261,1.3e-05,9.2e-06,4.9e-06,4.745e-05,0
0.9985,0.001015,1.687e-05,6.56e-06,3.76e-06,2.897e-05,0
0.9995,0.000854,1.293e-05,3.5e-06,9.66e-06,8.005e-05,0
0.9995,0.0005817,1.824e-05,3.93e-06,2.9e-06,3.43e-05,0
0.9995,0.0008154,2.325e-05,1.6e-06,1.115e-05,5.62e-05,0
0.9995,0.0008445,2.02e-05,1.85e-06,8.3e-06,6.825e-05,0
0.9995,0.0006733,2.027e-05,1.7e-06,7.33e-06,0.000102,0
0.9995,0.0005617,4.214e-05,6.5e-06,3.2e-06,3.71e-05,0
0.9966,0.003313,2.49e-05,4e-06,2.86e-06,4.41e-05,0
0.9976,0.002584,1.997e-05,4.77e-06,2.74e-06,3.535e-05,0
0.9946,0.004936,2.87e-05,2.86e-06,6.6e-06,0.0001793,0
