class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.94,0.05927,9.66e-06,0.0001636,9.5e-07,0.000541,0
0.4954,0.4993,8.8e-06,0.0003197,6.56e-06,0.004955,1
0.9004,0.03787,6.1e-06,0.00092,2e-06,0.06046,0
0.985,0.002352,3.93e-06,0.00143,3.6e-07,0.01171,0
0.8286,0.12463,5.8e-06,0.000484,2.1e-06,0.04596,0
0.981,0.01178,5.66e-06,9.84e-05,2.4e-07,0.006783,0
0.9536,0.0407,3.46e-06,0.0002369,5e-07,0.005573,0
0.9683,0.02179,2.1e-06,0.0002766,6.6e-07,0.00987,0
0.981,0.01703,2.15e-06,0.000208,3.6e-07,0.001825,0
0.9946,0.00172,1e-06,0.0003412,4e-07,0.00316,0
0.9966,0.001376,8e-07,0.0005236,6e-07,0.001679,0
0.9546,0.001172,9.5e-07,0.000415,1.8e-06,0.04413,0
0.95,0.004395,1.43e-06,0.000457,7e-07,0.04514,0
0.903,0.0003111,9.5e-07,0.000693,1.3e-06,0.0963,0
0.2878,3.09e-05,9.5e-07,0.0001649,1.01e-05,0.7124,5
0.4922,0.0001415,1.4e-06,0.0002818,2.75e-05,0.508,5
0.3447,3.93e-05,1e-06,0.001435,3.03e-05,0.654,5
0.9307,0.0003045,8e-07,0.0002397,1.18e-05,0.06885,0
0.99,0.0001713,9e-07,0.000159,2.956e-05,0.009636,0
0.936,0.0002863,7e-07,0.0001374,4.87e-05,0.06384,0
0.983,0.012634,1.67e-06,0.0007257,1e-05,0.003584,0
0.9805,0.003618,3e-06,0.002687,3.17e-05,0.01337,0
0.982,0.0004022,1.5e-06,9.04e-05,6.163e-05,0.01785,0
0.986,0.0001246,1.55e-06,0.0003753,1.603e-05,0.013824,0
0.9883,0.000322,9.5e-07,0.0005045,6.84e-05,0.01041,0
0.9277,6.616e-05,2e-06,0.00139,2.134e-05,0.0711,0
0.963,0.00013,2.2e-06,0.001051,4.65e-06,0.03592,0
0.9233,0.001733,9.06e-06,0.02443,1.25e-06,0.05008,0
0.7954,0.0012,4.274e-05,0.0792,1e-07,0.12366,0
0.646,0.0003831,6.41e-05,0.3125,6e-08,0.0416,0
0.4216,0.0001141,0.0003066,0.11505,1e-07,0.463,5
0.6177,0.0001022,1.967e-05,0.03632,2.4e-07,0.3452,0
0.419,9.024e-05,1.31e-05,0.00807,3e-07,0.5728,5
0.3652,2.24e-05,8.46e-06,0.01576,8.3e-07,0.6187,5
0.3137,0.000712,1.07e-05,0.02338,2.4e-07,0.662,5
0.4663,2.72e-05,2.4e-06,0.000761,1.9e-06,0.5327,5
0.3914,4.51e-05,3.76e-06,0.0004165,1e-06,0.6084,5
0.3818,4.643e-05,4.35e-06,0.0001916,1.67e-06,0.6177,5
0.6167,7.886e-05,6.2e-06,0.0001669,1.6e-06,0.383,0
0.9614,0.00086,1.156e-05,0.0003169,8e-07,0.03778,0
0.996,0.001406,5.4e-06,0.0001087,2.4e-07,0.002514,0
0.9976,0.0004992,6.1e-06,0.0003676,1e-07,0.001876,0
0.995,0.0005617,4.1e-06,0.0004683,2.4e-07,0.004143,0
0.9795,0.000841,2.08e-05,0.01807,3e-07,0.001463,0
0.9736,0.01368,1.51e-05,0.005882,5.4e-07,0.006714,0
0.918,0.0802,2.974e-05,0.000702,3e-07,0.001327,0
0.9614,0.03757,0.0001328,0.0008535,2e-07,0.0001497,0
0.974,0.02248,4.54e-05,0.003141,2e-07,0.0003383,0
0.9834,0.0158,5.24e-05,0.000701,5.4e-07,0.0002525,0
0.9946,0.000954,9.763e-05,8.875e-05,3.4e-06,0.00415,0
0.985,0.0005403,9.674e-05,0.0006657,8.05e-06,0.01406,0
0.9854,0.001731,0.001986,0.00839,6.8e-06,0.002396,0
0.982,0.0002978,0.001388,0.001082,4.6e-06,0.015465,0
