class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9966,0.000489,2.99e-05,1.46e-05,4e-06,0.00288,0
0.9277,0.0001441,1.484e-05,1e-05,6.7e-06,0.0721,0
0.861,0.000491,1.544e-05,1.043e-05,2.027e-05,0.1384,0
0.987,0.0008984,9.6e-06,4.5e-06,2.37e-05,0.01209,0
0.97,0.001201,7.57e-06,3.4e-06,1.544e-05,0.02834,0
0.962,0.00183,6.4e-06,5.36e-06,1e-05,0.0358,0
0.996,0.002441,1.14e-05,1.4e-06,1.5e-06,0.001596,0
0.9995,0.0003374,7.8e-06,1.4e-06,3e-06,0.0003312,0
0.9985,0.000989,1.01e-05,2.56e-06,2.9e-06,0.0002549,0
0.9985,0.0003202,1.25e-05,1.7e-06,7.18e-05,0.00105,0
0.9976,0.0002725,4.63e-05,2.205e-05,2.724e-05,0.002478,0
0.9985,0.0001089,2.77e-05,4.25e-05,2.2e-06,0.001587,0
0.998,0.0003953,4.655e-05,0.0001133,1.5e-06,0.001409,0
0.999,0.0002682,5.746e-05,4.68e-05,2.4e-06,0.0001522,0
0.999,0.0002854,4.53e-05,3.386e-05,3.7e-06,0.0001563,0
0.999,0.0001247,5.12e-05,0.0001156,2.74e-06,0.000908,0
0.9995,2.94e-05,5.335e-05,5.79e-05,5.36e-06,0.0005856,0
0.9976,7.63e-05,5.41e-05,5.59e-05,3.5e-06,0.00225,0
0.9985,6.05e-05,4.03e-05,4.55e-05,1.67e-06,0.00109,0
0.9985,0.000148,2.354e-05,2.635e-05,2.74e-06,0.001552,0
0.9995,0.0007434,1.115e-05,1.055e-05,8.3e-07,8.917e-05,0
0.999,0.0002283,2.16e-05,1.025e-05,4.65e-06,0.0004468,0
0.9985,0.0006943,3e-05,0.0001311,5.4e-07,0.0004997,0
0.997,0.0003197,4.4e-06,3.34e-06,1.4e-06,0.002594,0
0.9946,0.0002146,5.66e-06,2.5e-06,3.34e-06,0.005245,0
0.998,0.001664,1.794e-05,1.1e-06,1.4e-06,0.0001509,0
0.995,0.004494,4.32e-05,2.9e-06,3e-07,0.0001423,0
0.997,0.002409,5.18e-05,6.7e-06,2e-07,0.0004294,0
0.994,0.00532,4.88e-05,6.2e-06,1e-07,0.0002587,0
0.989,0.01066,3.076e-05,9.7e-06,2e-07,0.0002328,0
0.9917,0.0078,1.776e-05,1.27e-05,2e-07,0.000425,0
0.9775,0.001789,1.03e-05,1.32e-05,4e-07,0.02017,0
0.9956,0.001753,2.4e-05,1.466e-05,2e-07,0.002277,0
0.9893,0.002638,1.1e-05,1.3e-05,3.6e-07,0.00796,0
0.9863,0.0004802,3.695e-05,1.16e-05,4e-07,0.01317,0
0.9683,0.0001745,1.055e-05,6.26e-06,1.8e-06,0.03204,0
0.965,0.0001451,1.21e-05,7.4e-06,2.5e-06,0.03506,0
0.9556,0.0002632,1.16e-05,1.63e-05,1.43e-06,0.04407,0
0.976,0.0004115,3.04e-06,1.88e-05,2.8e-06,0.02342,0
0.9727,0.0002285,3.4e-06,1.34e-05,2.2e-06,0.02731,0
0.9575,0.0003412,5.7e-06,8.5e-06,3.4e-06,0.04184,0
0.991,0.0006747,4.95e-06,3.8e-06,1.4e-06,0.0082,0
0.9893,0.005505,4.53e-06,2.2e-06,2.5e-06,0.004993,0
0.9907,0.002144,3.04e-06,4.1e-06,1.43e-06,0.00693,0
0.9907,0.00894,4.7e-06,3.46e-06,9.5e-07,0.0005794,0
0.9736,0.02567,4.77e-06,2.26e-06,1.85e-06,0.0006385,0
0.9907,0.0069,4.1e-06,3.8e-06,8e-07,0.002422,0
0.9907,0.006042,2.86e-06,1.97e-06,2.9e-06,0.003357,0
0.9927,0.003801,3.1e-06,2.6e-06,1.6e-06,0.00306,0
0.9956,0.002188,5e-06,2.44e-06,1.85e-06,0.001987,0
0.997,0.001511,6.9e-06,1.43e-06,1.55e-06,0.001379,0
0.983,0.01665,5e-06,3.64e-06,1.25e-06,0.0002913,0
0.9673,0.03177,4.95e-06,9.5e-06,6e-07,0.0009136,0
