class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.04022,1.33e-05,1.1e-06,0.00052,5e-07,0.9595,5
0.0881,6.8e-06,2.1e-06,0.00804,1.9e-06,0.904,5
0.04163,3e-06,9.5e-07,0.003235,2.2e-06,0.9546,5
0.03403,2.8e-06,1e-06,0.00251,2.15e-06,0.9634,5
0.0489,2.74e-06,1.2e-06,0.00359,2.74e-06,0.9478,5
0.02664,3.34e-06,3e-07,0.000203,3.76e-06,0.973,5
0.01602,2.15e-06,5e-07,0.0004234,1.67e-06,0.984,5
0.01471,1.4e-06,7e-07,0.0002878,4.8e-06,0.985,5
0.02509,1.1e-06,1.43e-06,0.0002747,1.7e-05,0.9746,5
0.05542,4.05e-06,6e-07,0.0003648,4.23e-06,0.9443,5
0.2886,1.74e-05,1.25e-06,0.0001265,4.53e-06,0.7114,5
0.2773,1.466e-05,1.1e-06,9.15e-05,6.8e-06,0.7227,5
0.09,3.475e-05,9e-07,6.485e-05,2.4e-06,0.91,5
0.2069,5.47e-05,1.13e-06,4.57e-05,2.44e-06,0.793,5
0.1656,4.5e-05,1.1e-06,7.58e-05,1.97e-06,0.8345,5
0.1339,1.88e-05,2.4e-06,8.07e-05,1.67e-06,0.866,5
0.272,1.72e-05,2.4e-06,0.0001564,2.1e-06,0.728,5
0.2612,1.574e-05,1.43e-06,0.0001435,2.4e-06,0.739,5
0.3547,8.17e-06,2.8e-06,0.0003877,2.2e-06,0.645,5
0.3079,9.66e-06,1.85e-06,0.000909,2.44e-06,0.6914,5
0.5117,1.45e-05,1.97e-06,0.0001913,3.46e-06,0.488,0
0.8013,2.01e-05,1.8e-06,7.236e-05,1.47e-05,0.1987,0
0.961,8.64e-06,5.4e-06,1.21e-05,3.12e-05,0.03873,0
0.9165,3.04e-06,4.774e-05,5.96e-06,0.04617,0.03717,0
0.8086,2.2e-06,0.0001569,5.25e-06,0.1748,0.01663,0
0.2908,6.56e-06,8.17e-05,9e-07,0.706,0.003029,4
0.9023,4.53e-06,9.507e-05,1.8e-06,0.06256,0.0351,0
0.861,2.7e-06,0.0004368,3.4e-06,0.00907,0.1301,0
0.841,6e-07,0.0004537,7.534e-05,0.001224,0.1571,0
0.754,3.6e-06,0.000134,3.6e-06,0.002874,0.2428,0
0.9775,1.43e-06,0.0002575,1.41e-05,0.0001969,0.0223,0
0.8564,4.1e-06,1.31e-05,5.513e-05,1.61e-05,0.1437,0
0.9707,1.13e-06,5.43e-05,1.866e-05,0.0001439,0.02902,0
0.9336,2.1e-06,4.77e-06,4.226e-05,7.62e-05,0.0663,0
0.96,1.6e-06,6.4e-06,6.38e-05,4.536e-05,0.03995,0
0.978,1.3e-06,2.23e-05,8.7e-06,0.000586,0.02156,0
0.898,1.8e-06,2.16e-05,1.806e-05,9.3e-05,0.10236,0
0.8203,2.74e-06,1.14e-05,1.25e-05,0.0001299,0.1796,0
0.937,5.5e-06,2.67e-05,1.55e-06,0.00569,0.05704,0
0.974,9.5e-07,0.00010645,1.27e-05,0.0002596,0.0252,0
0.8916,2.6e-06,3.11e-05,5.36e-06,0.000463,0.10767,0
0.9453,3.16e-06,0.0002418,2.26e-06,0.00885,0.04547,0
0.6855,5.3e-06,9.3e-06,1.7e-05,6.35e-05,0.314,0
0.4873,1.3e-06,4.256e-05,0.002317,1.055e-05,0.5107,5
0.4182,9e-07,3.135e-05,0.00089,1.85e-05,0.5806,5
0.1076,5e-07,2.15e-05,0.001832,6.2e-06,0.89,5
0.4333,6.6e-07,6.09e-05,0.003618,2.29e-05,0.563,5
0.52,2e-06,1.47e-05,0.006256,6.85e-06,0.4734,0
0.7275,1.6e-06,2.94e-05,0.00801,2.074e-05,0.2644,0
0.2096,1.5e-05,2.86e-06,0.02,2.9e-06,0.77,5
0.05902,9.66e-06,1.1e-06,0.003323,2.3e-06,0.938,5
0.038,6.8e-06,1.55e-06,0.0008593,4.5e-06,0.9614,5
0.04434,3.46e-06,1e-06,0.0003443,4.5e-06,0.955,5
0.0321,3.3e-06,7.3e-06,0.0001343,2.42e-05,0.968,5
0.1237,1.13e-06,5.64e-05,0.0006747,2.32e-05,0.8755,5
0.2231,2.15e-06,2.134e-05,0.0005903,5.4e-06,0.776,5
0.0894,1.7e-06,4.7e-06,0.0003772,2.9e-06,0.9106,5
0.4976,2.3e-06,1.34e-05,0.0009246,6.26e-06,0.5015,5
0.172,1.7e-06,5.9e-06,0.0011635,3.8e-06,0.827,5
0.8257,2.1e-06,4.387e-05,0.007374,6.7e-06,0.167,0
0.8696,2.44e-06,1.96e-05,0.00632,4.5e-06,0.1243,0
0.985,7e-07,0.0002047,0.00372,5.3e-06,0.0112,0
0.9946,7e-07,0.001308,0.0004864,1.603e-05,0.003654,0
0.9946,8.3e-07,0.004955,0.0001572,0.0001401,0.0005374,0
0.9663,9e-07,0.02885,0.00373,0.0002978,0.000568,0
0.948,6e-07,0.002554,0.04,9.82e-05,0.00895,0
0.9087,9.5e-07,0.04034,0.03177,0.001558,0.01782,0
