class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
1.0,0.0001576,2e-05,8.5e-06,3.3e-06,3.58e-05,0
1.0,0.0001551,4.3e-06,3.9e-06,1.734e-05,0.0001287,0
0.9995,0.0002635,3.46e-06,3.5e-06,7.57e-06,0.0002873,0
0.9995,0.000268,2.44e-06,4.77e-06,1.72e-05,0.0002401,0
0.999,0.00011224,2.2e-06,6.8e-06,1.71e-05,0.0005627,0
0.999,8.27e-05,1.67e-06,5.84e-06,1.246e-05,0.000828,0
0.999,0.00011903,1.85e-06,5.07e-06,1.3e-05,0.0006084,0
1.0,6.95e-05,4.77e-06,4.2e-06,4.05e-06,0.0002944,0
0.999,0.0002558,3.46e-06,6.8e-06,5.25e-06,0.0007896,0
0.999,0.000124,3.04e-06,9.9e-06,6e-06,0.0004084,0
0.9985,0.0001602,1.55e-06,9.9e-06,4.4e-06,0.001422,0
0.996,0.0001862,2.15e-06,8.34e-06,1.9e-06,0.003742,0
0.9976,9.42e-05,2.3e-06,1.675e-05,2.15e-06,0.00262,0
0.998,7.135e-05,2.7e-06,1.043e-05,1.85e-06,0.001603,0
0.999,0.0001416,5.8e-06,4.59e-05,1e-06,0.0009737,0
0.9956,4.387e-05,3.9e-06,0.0001315,2.44e-06,0.004097,0
0.998,1.454e-05,5.9e-06,0.0001544,4.23e-06,0.001674,0
0.996,5.53e-05,2.1e-06,7.784e-05,2.3e-06,0.003763,0
0.994,1.36e-05,1.7e-06,4.125e-05,1.83e-05,0.0056,0
0.9966,2.58e-05,1.4e-06,3.225e-05,8.46e-06,0.003006,0
0.9956,1.52e-05,1.43e-06,6.59e-05,7.2e-06,0.0045,0
0.9966,2.1e-05,1.5e-06,7.16e-05,3.16e-06,0.002857,0
0.9966,4.476e-05,1.2e-06,2.19e-05,4e-06,0.003824,0
0.996,0.0001454,1.4e-06,7.5e-06,9e-06,0.003696,0
0.996,6.014e-05,2.86e-06,1.85e-06,1.7e-05,0.004025,0
0.9995,0.0001157,2.265e-05,4e-07,1.28e-05,0.0005116,0
0.9995,0.0003905,2.944e-05,1.9e-06,5.4e-07,0.0003083,0
0.999,0.0003963,0.000528,1.28e-05,2.4e-07,8.94e-06,0
0.9995,9.584e-05,0.0003576,2.43e-05,1e-07,2.503e-05,0
0.998,0.001233,0.0003746,5.776e-05,6e-08,6.44e-06,0
0.995,0.00305,0.001533,7.03e-05,1e-07,2.7e-06,0
0.997,0.00132,0.001515,0.0001138,1e-07,1.9e-06,0
0.9883,0.00628,0.004665,0.0009108,1e-07,1.2e-06,0
0.9644,0.01662,0.015,0.00408,2.4e-07,1.1e-06,0
0.9565,0.003704,0.03592,0.004013,3.6e-07,9e-07,0
0.982,0.002266,0.00477,0.01092,2e-07,1.7e-06,0
0.994,0.002321,0.00077,0.002419,2e-07,2.2e-06,0
0.995,0.0001241,0.0003111,0.003864,3e-07,7e-06,0
0.999,0.0002873,0.0002604,0.000464,4e-07,6.2e-06,0
0.998,6.735e-05,0.0008893,0.000872,7e-07,4.8e-06,0
0.999,0.0007677,3.6e-05,7.963e-05,2.74e-06,1.615e-05,0
0.9985,0.000982,4.67e-05,0.0002292,1.1e-06,3.07e-05,0
0.9927,0.00678,2.28e-05,8.47e-05,2.3e-06,4.333e-05,0
0.9634,0.03574,2.4e-06,5.38e-05,4.53e-06,0.001062,0
0.972,0.02663,2.7e-06,1.854e-05,2.8e-06,0.001274,0
0.9644,0.0332,1.8e-06,1.097e-05,2.9e-06,0.003023,0
0.9653,0.03284,2.2e-06,1.466e-05,2.2e-06,0.001493,0
0.9536,0.04486,2.26e-06,1.16e-05,2.15e-06,0.001423,0
0.9717,0.02805,2.6e-06,1.305e-05,1.55e-06,0.000246,0
0.986,0.014145,2.8e-06,2.77e-05,1.5e-06,8.285e-05,0
0.9976,0.002316,1.6e-06,2.646e-05,1.13e-06,8.047e-05,0
0.9985,0.001612,1.8e-06,1.955e-05,6.6e-07,0.0001279,0
0.998,0.001918,2.8e-06,5.084e-05,6.6e-07,5.36e-05,0
0.998,0.001511,2.6e-06,7.355e-05,5e-07,5.054e-05,0
1.0,0.0002315,2.9e-06,6.19e-05,1.1e-06,5.454e-05,0
0.999,0.0003753,1.3e-06,2.605e-05,6e-07,0.0001959,0
0.999,0.0002937,1.43e-06,1.574e-05,9e-07,0.0001366,0
0.999,0.0002143,1.25e-06,1.943e-05,8.3e-07,0.0002413,0
0.999,0.000386,1.7e-06,2.515e-05,5e-07,0.0001124,0
1.0,0.0001265,2.3e-06,2.635e-05,1.1e-06,0.0001783,0
1.0,0.0001845,1.97e-06,2.48e-05,1.6e-06,0.0002121,0
1.0,2.98e-05,6.4e-06,2.07e-05,1.5e-06,0.0001948,0
1.0,1.17e-05,7.7e-06,4.51e-05,1.25e-06,0.0001931,0
1.0,2.07e-05,7.4e-06,4.24e-05,8e-07,0.0001992,0
1.0,3.05e-05,7.9e-06,4.554e-05,6.6e-07,9.31e-05,0
1.0,3.17e-05,8.5e-06,9.19e-05,8.3e-07,2.927e-05,0
1.0,3.81e-05,4.53e-06,2.956e-05,2.15e-06,3.433e-05,0
1.0,6.425e-05,5.5e-06,6.217e-05,1.13e-06,1.925e-05,0
1.0,0.0001366,3.16e-06,2.25e-05,1.9e-06,2.044e-05,0
1.0,3.75e-05,8.64e-06,1.764e-05,2.56e-06,1.18e-05,0
1.0,3.594e-05,8.94e-06,3.85e-05,3.5e-06,1.633e-05,0
1.0,5.13e-05,6.56e-06,1.75e-05,6.6e-06,2.027e-05,0
1.0,0.0001057,9.24e-06,7.75e-06,4.6e-06,2.01e-05,0
1.0,4.005e-05,5.96e-06,4.8e-06,1.645e-05,5.35e-05,0
1.0,1.657e-05,4.5e-06,9.1e-06,1.293e-05,9.41e-05,0
1.0,1.36e-05,6.8e-06,1.06e-05,2.9e-05,7.015e-05,0
1.0,1.097e-05,9.8e-06,4.19e-05,7.6e-06,0.0002782,0
1.0,1.544e-05,2.18e-05,0.0001259,5.36e-06,9.5e-05,0
0.9995,0.0001118,2.074e-05,0.0001901,9.5e-07,6.36e-05,0
0.9995,0.0001978,8.94e-06,4.876e-05,3.64e-06,0.0005794,0
0.999,9.42e-05,1.29e-05,0.0001214,5.3e-06,0.0009193,0
0.9995,8.96e-05,3.76e-06,0.00011957,3.5e-06,0.0006194,0
0.9985,6.03e-05,6.14e-06,9.304e-05,9.5e-07,0.001309,0
0.998,0.0001525,2.7e-06,7.606e-05,2.1e-06,0.001389,0
0.999,5.835e-05,4.7e-06,8.243e-05,1.9e-06,0.0007367,0
0.9995,6.6e-05,9.5e-06,9.22e-05,2.3e-06,0.0001408,0
0.999,5.2e-05,6.85e-06,2.295e-05,2.2e-06,0.0004547,0
0.999,0.00025,2.6e-06,1.71e-05,6.6e-07,0.0001827,0
1.0,0.0001701,3.93e-06,9.24e-06,8e-07,9.125e-05,0
1.0,0.0003297,4.1e-06,8.1e-06,1.13e-06,0.00010467,0
0.999,0.000547,2.3e-06,1.05e-05,1e-06,0.0001367,0
0.998,0.000878,1.3e-06,5.9e-06,8e-06,0.001124,0
0.998,0.0004387,5.4e-07,1.22e-05,4.35e-06,0.001471,0
0.994,0.001513,5e-07,1.48e-05,4.6e-06,0.003895,0
0.998,0.001819,9e-07,3.755e-05,4.6e-06,0.0003755,0
0.998,0.00125,9e-07,4.16e-05,3.34e-06,0.0004106,0
0.998,0.001864,9.5e-07,2.49e-05,4.3e-06,0.000522,0
0.9985,0.0005097,2.1e-06,4.905e-05,3.3e-06,0.0004196,0
0.998,0.0003922,1.4e-06,5.203e-05,1.85e-06,0.001143,0
0.999,0.000654,1.6e-06,3.83e-05,1.43e-06,0.0004191,0
0.998,0.000563,1.13e-06,5.424e-05,1.4e-06,0.000903,0
0.999,0.000629,2.2e-06,6.56e-05,6.6e-07,7.81e-05,0
0.999,0.0008216,2.74e-06,8.476e-05,3e-07,7.176e-05,0
0.999,0.000634,4.95e-06,0.0003588,5e-07,3.14e-05,0
0.998,0.001396,1.67e-06,0.0001829,3.6e-07,0.0001135,0
0.999,0.000815,2.4e-06,0.0002077,5e-07,7e-05,0
0.9976,0.002415,1.85e-06,7.04e-05,5.4e-07,5.86e-05,0
0.997,0.002705,9.5e-07,0.0001132,8.3e-07,9.51e-05,0
0.998,0.001448,1.13e-06,3.785e-05,9e-07,0.0002282,0
0.995,0.001405,8.3e-07,1.42e-05,1.2e-06,0.003061,0
0.995,0.001668,1.1e-06,9.06e-06,1.2e-06,0.002823,0
0.9956,0.003435,2.26e-06,8.7e-06,6e-07,0.001084,0
0.992,0.006817,1.97e-06,7.33e-06,1.25e-06,0.001013,0
0.989,0.00911,2e-06,6.7e-06,1.25e-06,0.002392,0
0.9937,0.0006237,1.9e-06,8.5e-06,1.6e-06,0.00549,0
0.998,0.001222,2.4e-06,4.7e-06,1.2e-06,0.0009537,0
0.999,0.0007033,3e-06,5.3e-06,1.3e-06,0.0002306,0
0.999,0.0008607,1.5e-06,7e-06,1.5e-06,0.0004268,0
0.998,0.001333,2.15e-06,1.746e-05,6.6e-07,0.0001991,0
0.9995,0.0005636,3.4e-06,2.79e-05,1.1e-06,7.64e-05,0
1.0,0.0002904,3.4e-06,6.98e-05,7e-07,7.42e-05,0
0.9995,0.000333,4.4e-06,0.00010246,9e-07,4.953e-05,0
1.0,0.0001404,4.23e-06,8.32e-05,6e-07,9.876e-05,0
1.0,9.05e-05,1.293e-05,9.936e-05,5.4e-07,4.023e-05,0
0.9995,0.0001686,2.66e-05,0.000611,8e-07,2.6e-05,0
1.0,6.48e-05,2.92e-05,0.0002933,5e-07,1.395e-05,0
0.9995,0.00011706,4.28e-05,0.0001991,5e-07,1.085e-05,0
0.9995,3.04e-05,0.000598,0.000378,3e-07,7.9e-06,0
1.0,1.556e-05,0.00011325,4.274e-05,5e-07,3.96e-05,0
1.0,1.77e-05,6.527e-05,4.77e-05,2e-07,7.17e-05,0
1.0,5.23e-05,0.0001144,5.51e-05,2e-07,1.943e-05,0
