class_0_prob,class_1_prob,class_2_prob,pred_class
0.143,0.8516,0.005684,1
0.121,0.856,0.02316,1
0.3206,0.661,0.01845,1
0.682,0.288,0.03014,0
0.7217,0.2367,0.0418,0
0.9004,0.0937,0.006393,0
0.533,0.443,0.02322,0
0.782,0.1963,0.0214,0
0.9434,0.0439,0.012245,0
0.9688,0.01845,0.01259,0
0.9717,0.01883,0.0095,0
0.9346,0.0378,0.02724,0
0.898,0.09,0.01175,0
0.84,0.1381,0.02237,0
0.652,0.3325,0.01573,0
0.802,0.1771,0.02124,0
0.7627,0.1694,0.0674,0
0.3032,0.6562,0.0405,1
0.1697,0.818,0.01253,1
0.01204,0.9194,0.06836,1
0.02846,0.897,0.0745,1
0.109,0.835,0.05597,1
0.075,0.867,0.05795,1
0.2246,0.749,0.02666,1
0.3123,0.667,0.02055,1
0.3535,0.6353,0.01123,1
0.4885,0.4917,0.02014,1
0.6836,0.2017,0.11426,0
0.602,0.3186,0.07947,0
0.8354,0.1272,0.03714,0
0.6787,0.1631,0.1582,0
0.755,0.1027,0.1422,0
0.287,0.703,0.0094,1
0.1272,0.8105,0.06192,1
0.1675,0.8247,0.007404,1
0.2098,0.768,0.02248,1
0.09326,0.873,0.03403,1
0.611,0.2433,0.1458,0
0.605,0.3845,0.010025,0
0.2505,0.744,0.005367,1
0.2379,0.7544,0.00792,1
0.3035,0.598,0.0986,1
0.3108,0.5244,0.1647,1
0.598,0.3376,0.0642,0
0.4524,0.499,0.0487,1
0.4187,0.4421,0.1389,1
0.1252,0.605,0.2698,1
0.1906,0.4355,0.3738,1
0.03348,0.3394,0.6274,2
0.02222,0.3628,0.6147,2
0.01678,0.353,0.6304,2
0.007107,0.403,0.5894,2
0.006134,0.2693,0.724,2
0.00898,0.34,0.651,2
0.01709,0.3115,0.672,2
0.1785,0.1614,0.6597,2
0.04395,0.10596,0.8506,2
0.1571,0.0529,0.79,2
0.1439,0.07294,0.7837,2
0.05554,0.0874,0.8574,2
0.3555,0.2378,0.4065,2
0.4006,0.5034,0.0957,1
0.2908,0.5903,0.11865,1
0.04135,0.5737,0.3845,1
0.0453,0.65,0.3044,1
0.02693,0.813,0.16,1
0.5903,0.327,0.083,0
0.3228,0.3245,0.3533,2
0.1167,0.3442,0.539,2
0.161,0.796,0.0432,1
0.274,0.681,0.04477,1
0.1986,0.75,0.05182,1
0.4036,0.5703,0.02644,1
0.314,0.5103,0.1758,1
0.2242,0.574,0.2017,1
0.2524,0.591,0.1567,1
0.07355,0.878,0.04822,1
0.1642,0.8213,0.014336,1
0.10016,0.839,0.06094,1
0.00124,0.895,0.1034,1
0.001012,0.688,0.311,1
0.001493,0.3813,0.617,2
0.002531,0.5215,0.4758,1
0.02272,0.442,0.535,2
0.02303,0.5347,0.4424,1
0.03708,0.628,0.3354,1
0.01551,0.5874,0.3975,1
0.01546,0.716,0.2688,1
0.01653,0.7056,0.2778,1
0.10767,0.6177,0.2747,1
0.14,0.8467,0.01359,1
0.7373,0.255,0.007374,0
0.1332,0.822,0.04462,1
0.2069,0.7695,0.02338,1
0.3215,0.6685,0.01041,1
0.7524,0.2375,0.01015,0
0.3992,0.544,0.0569,1
0.249,0.557,0.1935,1
0.07227,0.574,0.3535,1
0.08154,0.4739,0.4443,1
0.01022,0.443,0.5464,2
0.1593,0.302,0.5386,2
0.1003,0.565,0.3342,1
0.538,0.05316,0.4087,0
0.434,0.01683,0.5493,2
0.3982,0.006115,0.595,2
0.5684,0.005188,0.4265,0
0.2322,0.01505,0.753,2
0.2172,0.00723,0.7754,2
0.284,0.01434,0.7017,2
0.02867,0.01929,0.9517,2
0.02632,0.03198,0.942,2
0.013275,0.01058,0.976,2
0.01892,0.02065,0.9604,2
0.0468,0.005997,0.9473,2
0.0644,0.006363,0.9297,2
0.0375,0.00454,0.958,2
0.268,0.006874,0.725,2
0.0433,0.009125,0.9478,2
0.2389,0.01317,0.7476,2
0.636,0.01062,0.3535,0
0.813,0.01316,0.174,0
0.2976,0.0562,0.646,2
0.05722,0.00804,0.935,2
0.03998,0.01047,0.949,2
0.1571,0.01188,0.831,2
0.359,0.00872,0.633,2
0.05267,0.01514,0.932,2
0.5273,0.00512,0.4675,0
0.2428,0.02344,0.734,2
0.7554,0.01563,0.229,0
0.3064,0.01422,0.6797,2
0.5303,0.114,0.356,0
0.3313,0.0336,0.635,2
0.3896,0.02696,0.583,2
0.4207,0.02924,0.5503,2
0.6787,0.019,0.3022,0
0.34,0.1296,0.5303,2
0.04712,0.1149,0.838,2
0.2778,0.0803,0.642,2
0.06915,0.012,0.919,2
